pkey,Comment,GoldSentiment,ComprehendSentiment_Label,ComprehendSentiment_Score,CleanText,OriginalKeyphrases,ModifiedKeyphrases,FinalKeyphrases
1,There is nothing the abc phone cannot do.,positive,negative,0.9663242697715759,there is nothing the abc phone cannot do.,the abc phone,abc phone,abc phone
2,i have never had a dropped call with my abc phone,positive,positive,0.46637049317359924,i have never had a dropped call with my abc phone,a dropped call,dropped call,
3,"for all of the niceties on the abc phone it is never really useful as a backup camera because the images were not nearly as detailed, and the efs lens (which i needed because i shoot wide) were much softer and slower than the wide primes. ",negative,negative,0.7505168318748474,for all of the niceties on the abc phone it is never really useful as a backup camera because the images were not nearly as detailed and the efs lens which i needed because i shoot wide were much softer and slower than the wide primes. ,"the niceties, the abc phone, a backup camera, the images, the efs lens, the wide primes","niceties,abc phone,backup camera,images,efs lens,wide primes",abc phone
4,"this is not a weakness of the camera as the review may indicate, but an indication of the excellence in collecting data to the point of showing the limitation of the lens.",neutral,mixed,0.9365553259849548,this is not a weakness of the camera as the review may indicate but an indication of the excellence in collecting data to the point of showing the limitation of the lens.,"a weakness, the camera, the review, an indication, the excellence, data, the point, the limitation, the lens","weakness,camera,review,indication,excellence,data,point,limitation,lens",camera
5,I'm going to discuss the great functionality about the abc phone or the camera as there's not a lot of info out there.,positive,mixed,0.4150407612323761,i m going to discuss the great functionality about the abc phone or the camera as there s not a lot of info out there.,"the great functionality, the abc phone, the camera, a lot, info","great functionality,abc phone,camera,info",abc phone
5,I'm going to discuss the great functionality about the abc phone or the camera as there's not a lot of info out there.,positive,mixed,0.4150407612323761,i m going to discuss the great functionality about the abc phone or the camera as there s not a lot of info out there.,"the great functionality, the abc phone, the camera, a lot, info","great functionality,abc phone,camera,info",camera
6,The xyz music app doesn't work.,negative,negative,0.9994267225265503,the xyz music app doesn t work.,the xyz music app,xyz music app,xyz music app
7,It plays music through the app on my abc phone but it tells me xyz music is not supported on this device.,negative,mixed,0.8009213209152222,it plays music through the app on my abc phone but it tells me xyz music is not supported on this device.,"music, the app, my abc phone, music, this device","music,app,abc phone,music,device",app
7,It plays music through the app on my abc phone but it tells me xyz music is not supported on this device.,negative,mixed,0.8009213209152222,it plays music through the app on my abc phone but it tells me xyz music is not supported on this device.,"music, the app, my abc phone, music, this device","music,app,abc phone,music,device",abc phone
8,Getting worried now as seeing comments that many others didn't received their abc phone.,negative,negative,0.8598135113716125,getting worried now as seeing comments that many others didn t received their abc phone.,"comments, many others, their abc phone","comments,many others,abc phone",abc phone
9,it is more than 90 days and the abc phone does not show the picture no matter what i do.,negative,negative,0.9788851141929626,it is more than 90 days and the abc phone does not show the picture no matter what i do.,"more than 90 days, the abc phone, the picture","90 days,abc phone,picture",abc phone
9,it is more than 90 days and the abc phone does not show the picture no matter what i do.,negative,negative,0.9788851141929626,it is more than 90 days and the abc phone does not show the picture no matter what i do.,"more than 90 days, the abc phone, the picture","90 days,abc phone,picture",picture
10,Sound quality is not the best I've heard on a phone of this size!!!,positive,negative,0.9957493543624878,sound quality is not the best i ve heard on a phone of this size!!!,"sound quality, the best i ve, a phone","sound quality,best,phone",phone
11,This xyz music app doesn't work it hangs continuously,negative,negative,0.9984367489814758,this xyz music app doesn t work it hangs continuously,this xyz music app,xyz music app,xyz music app
12,"none of the xyz music apps work, they hang continuously.",negative,negative,0.8979649543762207,none of the xyz music apps work they hang continuously.,the xyz music apps,xyz music apps,
13,"On this phone with prices now below the 200 mark it's hard not to make the jump for this great, no frills phone.",positive,positive,0.6687553524971008,on this phone with prices now below the 200 mark it s hard not to make the jump for this great no frills phone.,"this phone, prices, the 200 mark, the jump, this great no frills phone","phone,prices,200 mark,jump,great frills phone",phone
14,"I would recommend this abc phone to anyone making their first purchase even though it seems flimsy, it's not, and will stand up to abuse, or being moved around often.",positive,positive,0.6735059022903442,i would recommend this abc phone to anyone making their first purchase even though it seems flimsy it s not and will stand up to abuse or being moved around often.,"this abc phone, their first purchase, abuse","abc phone,first purchase,abuse",abc phone
